,title,sale_price,procent_sale,img,affiliat_link
0,Oxidant Permanent 6% - Londa Professional Extra Rich Creme Emulsion 20 vol 1000 ml,Pret redus: 26 Lei,-10%,https://www.esteto.ro/static/images/produse/1465/small_thumbnails/thumb_oxidant permanent - londa professional extra rich creme emulsion 20 vol 1000 ml.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-1465-oxidant-permanent-6-londa-professional-extra-rich-creme-emulsion-20-vol-1000-ml
1,Sampon Reparator - Wella Professionals Fusion Intense Repair Shampoo 1000ml,Pret redus: 80 Lei,-10%,https://www.esteto.ro/static/images/produse/7594/small_thumbnails/thumb_sampon-reparator-wella-professionals-fusion-intense-repair-shampoo-1000ml-.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-7594-sampon-reparator-wella-professionals-fusion-intense-repair-shampoo-1000ml
2,"Pachet Reconstructiv cu Cheratina - Londa Professional Fiber Infusion: Sampon 1000 ml, Tratament 750 ml",Pret redus: 147 Lei,-3%,https://www.esteto.ro/static/images/produse/491148/small_thumbnails/thumb_pachet-reconstructiv-cu-cheratina-londa-professional-fiber-infusion-sampon-1000-ml-tratament-750-ml-1613565025891-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-491148-pachet-reconstructiv-cu-cheratina-londa-professional-fiber-infusion-sampon-1000-ml-tratament-750-ml
3,"Pachet cu Efect Reparator - Londa Professional Visible Repair: Sampon 1000 ml, Tratament 750 ml",Pret redus: 118 Lei,-4%,https://www.esteto.ro/static/images/produse/491146/small_thumbnails/thumb_pachet-cu-efect-reparator-londa-professional-visible-repair-sampon-1000-ml-tratament-750-ml-1613564640570-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-491146-pachet-cu-efect-reparator-londa-professional-visible-repair-sampon-1000-ml-tratament-750-ml
4,Ulei de Argan pentru Par - Londa Professional Velvet Oil Lightweight Oil 100 ml,Pret redus: 43 Lei,-10%,https://www.esteto.ro/static/images/produse/4680/small_thumbnails/thumb_ulei-de-argan-pentru-par-londa-professional-velvet-oil-lightweight-oil-100-ml-1520270104565-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-4680-ulei-de-argan-pentru-par-londa-professional-velvet-oil-lightweight-oil-100-ml
5,Masca Reparatoare - Wella Professionals Fusion Intense Repair Mask 500ml,Pret redus: 88 Lei,-10%,https://www.esteto.ro/static/images/produse/7598/small_thumbnails/thumb_masca-reparatoare-wella-professionals-fusion-intense-repair-mask-500ml-1632398952104-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-7598-masca-reparatoare-wella-professionals-fusion-intense-repair-mask-500ml
6,"Sampon Hidratant pentru Par Uscat - Alfaparf Milano Semi Di Lino Moisture Nutritive Low Shampoo, 1000ml",Pret redus: 68 Lei,-10%,https://www.esteto.ro/static/images/produse/12364/small_thumbnails/thumb_sampon-hidratant-pentru-par-uscat-alfaparf-milano-moisture-nutritive-low-shampoo-1000ml-1522663684897-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-12364-sampon-hidratant-pentru-par-uscat-alfaparf-milano-semi-di-lino-moisture-nutritive-low-shampoo-1000ml
7,"Oxidant Vopsea Demi-permanenta 1,9% - Londa Professional Extra Rich Creme Emulsion 6 vol 1000 ml",Pret redus: 26 Lei,-10%,"https://www.esteto.ro/static/images/produse/1649/small_thumbnails/thumb_oxidant vopsea fara amoniac 1,9 - londa professional extra rich creme emulsion 6 vol 1000 ml.jpg",https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-1649-oxidant-vopsea-demi-permanenta-1-9-londa-professional-extra-rich-creme-emulsion-6-vol-1000-ml
8,"Oxidant Crema 6% - Wella Professionals Welloxon Perfect Creme Developer 6% 20 vol, 1000ml",Pret redus: 35 Lei,-10%,https://www.esteto.ro/static/images/produse/193585/small_thumbnails/thumb_oxidant-crema-6-wella-professionals-welloxon-perfect-creme-developer-6-20-vol-1000ml-1549617366494-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-193585-oxidant-crema-6-wella-professionals-welloxon-perfect-creme-developer-6-20-vol-1000ml
9,"Pachet Reparator pentru Par Deteriorat Alfaparf Milano - Sampon 1000ml, Masca 500ml, Tratament 125ml",Pret redus: 177 Lei,-13%,https://www.esteto.ro/static/images/produse/334570/small_thumbnails/thumb_pachet-reparator-pentru-par-deteriorat-alfaparf-milano-sampon-1000ml-masca-500ml-tratament-125ml-1568815097555-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-334570-pachet-reparator-pentru-par-deteriorat-alfaparf-milano-sampon-1000ml-masca-500ml-tratament-125ml
10,"Sampon cu Cheratina - Londa Professional Fiber Infusion Keratin Shampoo, 1000ml",Pret redus: 57 Lei,-9%,https://www.esteto.ro/static/images/produse/109240/small_thumbnails/thumb_sampon-cu-keratina-londa-professional-fiber-infusion-keratin-shampoo-1000ml-1540898108356-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-109240-sampon-cu-cheratina-londa-professional-fiber-infusion-keratin-shampoo-1000ml
11,"Masca Hidratanta pentru Par Uscat - Alfaparf Milano Semi Di Lino Moisture Nutritive Mask, 500ml",Pret redus: 77 Lei,-10%,https://www.esteto.ro/static/images/produse/16188/small_thumbnails/thumb_masca-hidratanta-pentru-par-uscat-alfaparf-milano-semi-di-lino-moisture-nutritive-mask-500ml-1524045558555-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-16188-masca-hidratanta-pentru-par-uscat-alfaparf-milano-semi-di-lino-moisture-nutritive-mask-500ml
12,"Pachet pentru Par Vopsit - Londa Professional Color Radiance: Sampon 1000 ml, Tratament 1000 ml",Pret redus: 109 Lei,-4%,https://www.esteto.ro/static/images/produse/491144/small_thumbnails/thumb_pachet-pentru-par-vopsit-londa-professional-color-radiance-sampon-1000-ml-tratament-1000-ml-1613564211128-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-491144-pachet-pentru-par-vopsit-londa-professional-color-radiance-sampon-1000-ml-tratament-1000-ml
13,Vopsea Demi-permanenta - Londa Professional nuanta 10/6 blond solar violet ,Pret redus: 21 Lei,-8%,https://www.esteto.ro/static/images/produse/5553/small_thumbnails/thumb_vopsea-fara-amoniac-londa-professional-nuanta-10-6-blond-solar-violet-1593518624416-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-5553-vopsea-demi-permanenta-londa-professional-nuanta-10-6-blond-solar-violet
14,"Sistem pentru indepartarea vopselei permanente - Color Time - DT100, flacon reducator 110ml, activator 110ml, oxidant 110ml - Rosa Impex",Pret redus: 37 Lei,-13%,https://www.esteto.ro/static/images/produse/108869/small_thumbnails/thumb_sistem-pentru-indepartarea-vopselei-color-time-dt100-flacon-reducator-110ml-activator-110ml-oxidant-110ml-rosa-impex-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-108869-sistem-pentru-indepartarea-vopselei-permanente-color-time-dt100-flacon-reducator-110ml-activator-110ml-oxidant-110ml-rosa-impex
15,Vopsea Demi-permanenta - Londa Professional nuanta 9/86 gri otel prismatic,Pret redus: 21 Lei,-8%,https://www.esteto.ro/static/images/produse/487350/small_thumbnails/thumb_vopsea-fara-amoniac-londa-professional-nuanta-9-86-blond-luminos-perlat-violet-1611921368846-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-487350-vopsea-demi-permanenta-londa-professional-nuanta-9-86-gri-otel-prismatic
16,Vopsea Permanenta - Londa Professional nuanta 7/0 blond mediu ,Pret redus: 21 Lei,-8%,https://www.esteto.ro/static/images/produse/1359/small_thumbnails/thumb_vopsea-permanenta-londa-professional-nuanta-7-0-blond-mediu-1593601478134-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-1359-vopsea-permanenta-londa-professional-nuanta-7-0-blond-mediu
17,Ulei pentru Netezire si Stralucire - Wella Professionals Oil Reflections Luminous Smoothening Oil 100 ml,Pret redus: 50 Lei,-9%,https://www.esteto.ro/static/images/produse/2771/small_thumbnails/thumb_ulei-pentru-netezire-si-stralucire-wella-professionals-oil-reflections-luminous-smoothening-oil-100-ml-1606122261990-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-2771-ulei-pentru-netezire-si-stralucire-wella-professionals-oil-reflections-luminous-smoothening-oil-100-ml
18,Vopsea Permanenta - Londa Professional nuanta 6/0 blond inchis ,Pret redus: 21 Lei,-8%,https://www.esteto.ro/static/images/produse/1347/small_thumbnails/thumb_vopsea-permanenta-londa-professional-nuanta-6-0-blond-inchis-1593421693739-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-1347-vopsea-permanenta-londa-professional-nuanta-6-0-blond-inchis
19,Vopsea Permanenta - Londa Professional nuanta 8/0 blond deschis ,Pret redus: 21 Lei,-8%,https://www.esteto.ro/static/images/produse/1373/small_thumbnails/thumb_vopsea-permanenta-londa-professional-nuanta-8-0-blond-deschis-1593601427263-1.jpg,https://event.2performant.com/events/click?ad_type=quicklink&aff_code=00a2b1279&unique=59bb5f58d&redirect_to=https%253A//www.esteto.ro/produse-1373-vopsea-permanenta-londa-professional-nuanta-8-0-blond-deschis
